DCC_freq,I_com,R_in,tau_M,data,ripple_amp,relDCCfreq,ripple_amp_AU
15.0,10,2.5,5.0,"[ 0.          0.03332593  0.06663705 ... 24.92104752 24.90997396
 24.89890532] mV",229.43076403 uV,75.0,0.22943076403381807
15.0,1,5.0,2.0,[0.         0.01665741 0.03329632 ... 4.96105779 4.95554857 4.95004546] mV,111.10883506 uV,30.0,0.11110883505668304
15.0,5,5.0,2.0,"[ 0.          0.08328705  0.16648162 ... 24.80528897 24.77774284
 24.75022731] mV",0.55554418 mV,30.0,0.5555441752833796
15.0,10,5.0,2.0,"[ 0.          0.16657411  0.33296324 ... 49.61057793 49.55548568
 49.50045461] mV",1.11108835 mV,30.0,1.1110883505667593
15.0,1,5.0,3.0,[0.         0.011107   0.02220577 ... 4.97404991 4.97036679 4.9666864 ] mV,74.08114372 uV,45.0,0.07408114372213503
15.0,5,5.0,3.0,"[ 0.          0.05553498  0.11102885 ... 24.87024955 24.85183397
 24.83343202] mV",0.37040572 mV,45.0,0.37040571861084515
15.0,10,5.0,3.0,"[ 0.          0.11106997  0.22205769 ... 49.74049911 49.70366794
 49.66686404] mV",0.74081144 mV,45.0,0.7408114372216903
15.0,1,5.0,4.0,[0.         0.00833102 0.01665741 ... 4.98052351 4.97775733 4.97499267] mV,55.76227261 uV,60.0,0.05576227261237625
15.0,5,5.0,4.0,"[ 0.          0.04165509  0.08328705 ... 24.90261757 24.88878663
 24.87496336] mV",278.81136306 uV,60.0,0.27881136306179277
15.0,10,5.0,4.0,"[ 0.          0.08331019  0.16657411 ... 49.80523514 49.77757325
 49.74992672] mV",0.55762273 mV,60.0,0.5576227261235855
15.0,1,5.0,5.0,[0.         0.00666519 0.01332741 ... 4.9842095  4.98199479 4.97978106] mV,45.88615281 uV,75.0,0.0458861528067336
15.0,5,5.0,5.0,"[ 0.          0.03332593  0.06663705 ... 24.92104752 24.90997396
 24.89890532] mV",229.43076403 uV,75.0,0.22943076403381807
15.0,10,5.0,5.0,"[ 0.          0.06665185  0.13327409 ... 49.84209504 49.81994792
 49.79781065] mV",0.45886153 mV,75.0,0.45886152806763614
